"productkey","productalternatekey","englishproductname","color","safetystocklevel","reorderpoint","daystomanufacture","startdate","status"
1,"AR-5381","Adjustable Race","NA",1000,750,0,"00:00.0","Current"
2,"BA-8327","Bearing Ball","NA",1000,750,0,"00:00.0","Current"
3,"BE-2349","BB Ball Bearing","NA",800,600,1,"00:00.0","Current"
4,"BE-2908","Headset Ball Bearings","NA",800,600,0,"00:00.0","Current"
5,"BL-2036","Blade","NA",800,600,1,"00:00.0","Current"
6,"CA-5965","LL Crankarm","Black",500,375,0,"00:00.0","Current"
7,"CA-6738","ML Crankarm","Black",500,375,0,"00:00.0","Current"
8,"CA-7457","HL Crankarm","Black",500,375,0,"00:00.0","Current"
9,"CB-2903","Chainring Bolts","Silver",1000,750,0,"00:00.0","Current"
10,"CN-6137","Chainring Nut","Silver",1000,750,0,"00:00.0","Current"
11,"CR-7833","Chainring","Black",1000,750,0,"00:00.0","Current"
12,"CR-9981","Crown Race","NA",1000,750,0,"00:00.0","Current"
13,"CS-2812","Chain Stays","NA",1000,750,1,"00:00.0","Current"
14,"DC-8732","Decal 1","NA",1000,750,0,"00:00.0","Current"
15,"DC-9824","Decal 2","NA",1000,750,0,"00:00.0","Current"
16,"DT-2377","Down Tube","NA",800,600,1,"00:00.0","Current"
17,"EC-M092","Mountain End Caps","NA",1000,750,1,"00:00.0","Current"
18,"EC-R098","Road End Caps","NA",1000,750,1,"00:00.0","Current"
19,"EC-T209","Touring End Caps","NA",1000,750,1,"00:00.0","Current"
20,"FE-3760","Fork End","NA",800,600,1,"00:00.0","Current"
21,"FH-2981","Freewheel","Silver",500,375,0,"00:00.0","Current"
22,"FW-1000","Flat Washer 1","NA",1000,750,0,"00:00.0","Current"
23,"FW-1200","Flat Washer 6","NA",1000,750,0,"00:00.0","Current"
24,"FW-1400","Flat Washer 2","NA",1000,750,0,"00:00.0","Current"
25,"FW-3400","Flat Washer 9","NA",1000,750,0,"00:00.0","Current"
26,"FW-3800","Flat Washer 4","NA",1000,750,0,"00:00.0","Current"
27,"FW-5160","Flat Washer 3","NA",1000,750,0,"00:00.0","Current"
28,"FW-5800","Flat Washer 8","NA",1000,750,0,"00:00.0","Current"
29,"FW-7160","Flat Washer 5","NA",1000,750,0,"00:00.0","Current"
30,"FW-9160","Flat Washer 7","NA",1000,750,0,"00:00.0","Current"
31,"FC-3654","Fork Crown","NA",800,600,1,"00:00.0","Current"
32,"FC-3982","Front Derailleur Cage","Silver",800,600,0,"00:00.0","Current"
33,"FL-2301","Front Derailleur Linkage","Silver",800,600,0,"00:00.0","Current"
34,"GP-0982","Guide Pulley","NA",800,600,0,"00:00.0","Current"
35,"GT-0820","LL Grip Tape","NA",800,600,0,"00:00.0","Current"
36,"GT-1209","ML Grip Tape","NA",800,600,0,"00:00.0","Current"
37,"GT-2908","HL Grip Tape","NA",800,600,0,"00:00.0","Current"
38,"HJ-1213","Thin-Jam Hex Nut 9","NA",1000,750,0,"00:00.0","Current"
